REG;Région;NBARR;NBCAN;NBCOM;PMUN;PTOT
01;Guadeloupe;2;21;32;383569;388197
02;Martinique;4;NA;34;361019;364991
03;Guyane;3;NA;22;288382;290476
04;La Réunion;4;25;24;881348;891190
11;Île-de-France;25;155;1267;12380964;12489624
24;Centre-Val de Loire;20;102;1756;2581597;2638823
27;Bourgogne-Franche-Comté;24;152;3697;2803977;2874734
28;Normandie;17;131;2651;3339074;3408739
32;Hauts-de-France;26;145;3788;5998916;6088950
44;Grand Est;38;200;5118;5560079;5661977
52;Pays de la Loire;16;107;1232;3879216;3968665
53;Bretagne;15;102;1206;3422845;3510488
75;Nouvelle-Aquitaine;41;258;4305;6113384;6250377
76;Occitanie;36;249;4453;6080731;6202443
84;Auvergne-Rhône-Alpes;39;241;4027;8163884;8331274
93;Provence-Alpes-Côte d'Azur;18;126;946;5170312;5243778
94;Corse;5;26;360;351276;356219
